source,target,value
Northern Hardwoods Forest - Hemlock -historical (34%),Northern Hardwoods Forest,46
Northern Hardwoods Forest - Hemlock -historical (34%),Aspen-Birch Forest,10
Northern Hardwoods Forest - Hemlock -historical (34%),Close Grown Crop,5
Northern Hardwoods Forest - Hemlock -historical (34%),Row Crop,4
Northern Hardwoods Forest - Hemlock -historical (34%),Northern Oak Forest,3
Beech-Maple Forest-historical (28%),Row Crop,44
Beech-Maple Forest-historical (28%),Developed-Roads,7
Beech-Maple Forest-historical (28%),Wheat,5
Beech-Maple Forest-historical (28%),Close Grown Crop,4
Beech-Maple Forest-historical (28%),Developed-Low Intensity,4
Alkaline Conifer-Hardwood Swamp-historical (16%),Alkaline Conifer-Hardwood Swamp,63
Alkaline Conifer-Hardwood Swamp-historical (16%),Conifer Acidic Swamp and Treed Poor Fen,6
Alkaline Conifer-Hardwood Swamp-historical (16%),Northern Hardwoods Forest,4
Alkaline Conifer-Hardwood Swamp-historical (16%),Aspen-Birch Forest,3
Alkaline Conifer-Hardwood Swamp-historical (16%),Pine-Hemlock Forest,3
Northern Pine(-Oak) Forest-historical (14%),Row Crop,10
Northern Pine(-Oak) Forest-historical (14%),Northern Oak Forest,9
Northern Pine(-Oak) Forest-historical (14%),Northern Hardwoods Forest,9
Northern Pine(-Oak) Forest-historical (14%),Aspen-Birch Forest,8
Northern Pine(-Oak) Forest-historical (14%),Forest Plantation,6
Dry-Mesic Oak Forest and Woodland-historical (8%),Row Crop,34
Dry-Mesic Oak Forest and Woodland-historical (8%),North-Central Interior Beech-Maple Forest,8
Dry-Mesic Oak Forest and Woodland-historical (8%),Developed-Roads,6
Dry-Mesic Oak Forest and Woodland-historical (8%),Pasture and Hayland,6
Dry-Mesic Oak Forest and Woodland-historical (8%),Dry-Mesic Oak Forest and Woodland,5
